iter	MAE	RMSE
701	897405.4948	1610184.351
702	897379.093	1610130.396
703	897230.6556	1609906.704
704	897211.9678	1609856.533
705	897153.8851	1609783.619
706	897137.8528	1609693.028
707	897127.4801	1609646.137
708	896803.1331	1609249.05
709	896792.3332	1609208.955
710	896694.2896	1608827.328
711	896651.0748	1608731.23
712	896489.707	1608415.422
713	896434.7539	1608207.313
714	896297.5924	1607805.826
715	896129.4123	1607295.798
716	896042.7406	1607126.934
717	895885.6	1606773.912
718	895883.9214	1606746.01
719	895869.3286	1606663.082
720	895859.5873	1606635.436
721	895813.9739	1606372.464
722	895744.047	1606171.714
723	895601.6907	1605783.258
724	895551.0071	1605461.144
725	895545.159	1605417.939
726	895536.2352	1605384.14
727	895510.9613	1605285.692
728	895331.5683	1605090.583
729	895194.9661	1604682.105
730	895060.3229	1604478.63
731	895040.3007	1604389.225
732	894943.4272	1604129.099
733	894858.0479	1603849.393
734	894850.177	1603817.996
735	894843.345	1603787.979
736	894815.2947	1603718.895
737	894751.8869	1603535.374
738	894745.7458	1603509.311
739	894739.9696	1603484.16
740	894733.4568	1603462.274
741	894396.4801	1603098.435
742	894341.394	1602865.409
743	894335.5482	1602844.211
744	894175.1997	1602557.613
745	894030.5557	1602239.128
746	893973.2339	1602023.909
747	893928.1506	1601694.277
748	893792.7342	1601501.892
749	893633.6764	1601222.58
750	893521.2964	1600929.131
751	893467.6077	1600826.202
752	893435.8553	1600715.759
753	893249.6344	1600527.082
754	893245.8339	1600501.191
755	893165.1085	1600135.267
756	893135.0684	1599947.561
757	893122.7824	1599906.802
758	893006.3666	1599622.936
759	892967.7553	1599547.603
760	892668.4912	1599178.167
761	892579.6752	1599020.698
762	892421.1615	1598656.587
763	892142.2951	1598318.718
764	892138.3234	1598294.413
765	892002.8212	1598045.658
766	891898.8368	1597961.416
767	891800.3191	1597634.003
768	891536.6758	1597255.046
769	891302.2902	1596775.462
770	891300.2437	1596755.342
771	891166.0924	1596583.244
772	890844.0018	1596049.426
773	890770.5336	1595898.097
774	890768.4751	1595878.694
775	890563.906	1595363.812
776	890418.5057	1595102.363
777	890396.6258	1595038.513
778	890394.5998	1595019.74
779	890392.6143	1595001.567
780	890336.2415	1594874.531
781	890231.4731	1594554.631
782	890097.2938	1594413.682
783	889967.915	1594261.068
784	889778.8266	1593926.574
785	889510.279	1593668.712
786	889489.8172	1593611.256
787	889149.0422	1593175.771
788	889019.0684	1592998.672
789	889011.9104	1592950.512
790	889008.8513	1592929.499
791	888877.1063	1592682.663
792	888702.071	1592508.967
793	888694.5156	1592472.477
794	888509.469	1592005.383
795	888505.6809	1591986.473
796	888454.8028	1591887.221
797	888374.8433	1591730.49
